in:Values,out:p1,out:p2,out:p3,out:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:ABS Elastic Deflections
1,2.9428,9.00715,6.64255,0.332635,1.64222,5.828598,5.837281,7.312337,0.003197
2,6.8364,9.62945,11.80575,0.166015,3.111903,3.387579,3.45741,3.542315,0.027502
3,4.8652,9.39985,8.28335,0.367495,1.569033,4.659029,4.661601,5.873763,0.0049
4,2.4484,7.94175,11.54955,0.238825,3.118351,5.314996,5.328518,5.363665,0.008187
5,6.3796,8.46115,8.70545,0.249055,2.933417,4.994951,4.995842,6.157943,0.007639
6,3.7436,6.98485,9.34105,0.283855,2.1236,5.663027,5.672281,7.101853,0.004541
7,9.6164,9.80025,9.04565,0.359875,1.380488,3.835832,3.83727,4.861367,0.008366
8,5.3316,9.62035,11.03505,0.123145,6.514068,3.243433,3.258943,3.259668,0.033282
9,9.3324,9.16605,7.08425,0.300925,1.457672,4.662306,4.668799,5.896437,0.006279
10,6.9628,5.08715,7.23965,0.222955,1.90095,6.975366,6.992075,8.740891,0.00285
11,4.702,5.78785,9.42715,0.290665,1.681835,5.883732,5.900921,7.333417,0.00396
12,3.2548,8.39115,7.91235,0.319615,2.804613,5.556778,5.558336,6.964664,0.003792
13,4.69,5.76755,8.09505,0.272335,2.145996,6.483061,6.495706,8.124714,0.002946
14,5.442,7.12835,10.18595,0.366055,1.964735,4.721565,4.729559,5.963387,0.004999
15,7.9212,8.87975,10.19505,0.385975,1.252717,3.902991,3.905309,4.943335,0.007309
16,3.97,9.80725,10.87545,0.288865,2.011422,4.401167,4.403666,5.142163,0.010174
17,4.882,11.21425,10.46595,0.174175,3.986889,3.749815,3.815097,3.828419,0.022941
18,8.8396,11.68255,11.06445,0.171235,2.553951,2.859679,2.891119,2.902318,0.039779
19,6.1172,11.59225,5.96215,0.184105,2.947832,5.038172,5.405869,5.441208,0.008809
20,2.6684,5.80955,9.20875,0.296095,1.989194,6.412376,6.429271,8.029833,0.003105
21,5.9844,9.09255,7.85565,0.340555,1.546468,4.783482,4.786818,6.033007,0.005007
22,2.4684,10.58285,8.07755,0.123445,12.335495,4.957759,5.006408,5.064689,0.014077
23,4.4444,5.04165,7.98935,0.294805,1.126002,6.86306,6.880893,8.603058,0.00224
24,4.046,8.86365,9.74635,0.362125,1.823621,4.570544,4.57246,5.757126,0.005618
25,4.0804,8.28545,10.56395,0.250885,2.54026,4.997612,5.005259,5.410552,0.00854
26,6.102,10.90345,5.67095,0.212125,2.752466,5.551174,5.578907,5.610688,0.007099
27,2.426,8.19865,9.61545,0.290845,2.428927,5.438742,5.443407,6.804779,0.005275
28,6.8892,5.28035,9.36905,0.279715,1.472105,5.7602,5.781744,6.952072,0.004405
29,4.9364,9.37535,9.39705,0.396145,1.786833,4.2849,4.284932,5.408467,0.005461
30,4.9812,11.48585,10.04245,0.245245,3.169439,4.233468,4.237084,4.28557,0.015011
31,2.794,8.14545,10.09985,0.321325,1.789253,5.079936,5.085376,6.375263,0.005407
32,7.9764,11.48095,9.77715,0.156685,3.185142,3.179324,3.213552,3.251076,0.0324
33,5.486,11.20725,8.93575,0.380785,1.274671,3.99151,3.995531,5.046644,0.007894
34,7.1948,11.06865,11.51595,0.327325,1.565384,3.497958,3.49867,4.27297,0.015265
35,3.9412,10.39665,10.50585,0.398545,1.796091,3.970069,3.970256,5.009356,0.007449
36,3.5348,9.66935,5.04305,0.214795,2.553016,6.945468,6.982799,7.518258,0.003827
37,9.642,6.24145,9.17095,0.306775,1.986861,4.890313,4.900752,6.188284,0.005316
38,8.3884,11.25695,8.76495,0.161485,3.391733,3.528001,3.621028,3.737911,0.024766
39,2.2164,8.98265,11.32695,0.290905,2.122836,4.838559,4.844707,5.490215,0.008054
40,4.5972,5.34405,11.42705,0.125395,7.746776,5.700124,6.176637,6.474372,0.007771
41,2.7204,9.70015,11.22265,0.335575,1.77035,4.383357,4.386448,5.509131,0.008187
42,8.7908,7.86475,5.56875,0.243445,1.888959,5.952897,5.966309,7.499659,0.003989
43,4.8076,8.86575,11.29265,0.337375,1.416922,4.215213,4.220238,5.227898,0.008585
44,2.7636,7.42235,8.05165,0.344365,1.314817,5.829076,5.831186,7.302565,0.00277
45,6.1372,8.67675,6.22185,0.236575,2.589442,5.903342,5.916329,6.964746,0.004828
46,2.3412,8.40585,9.51325,0.298405,2.418419,5.381146,5.384614,6.733235,0.00521
47,4.1588,6.94705,10.46385,0.256945,3.972393,5.399857,5.414121,5.923679,0.006347
48,5.7956,7.65335,9.48105,0.134365,7.888347,4.722138,4.804693,4.882427,0.014845
49,6.4204,10.25945,9.30185,0.286405,1.769508,4.261555,4.263813,5.093756,0.010287
50,4.9356,7.81505,10.28955,0.101905,12.065267,3.816156,3.82962,3.835073,0.024969
51,5.0948,7.24315,7.49025,0.222895,4.216627,6.236367,6.237766,7.796998,0.004557
52,4.6068,6.06505,8.18675,0.287755,1.946434,6.2314,6.241521,7.813657,0.003021
53,5.7204,8.09365,10.85445,0.202135,3.17537,4.636942,4.879241,4.890287,0.012382
54,2.2172,5.95515,5.18585,0.102565,11.120925,11.026079,11.042276,11.386926,0.002675
55,7.282,10.91605,6.53335,0.240865,3.113967,4.905736,4.924219,5.051293,0.008476
56,5.7348,7.85145,11.33115,0.356905,1.834705,4.261127,4.268823,5.363332,0.007494
57,9.8156,8.53185,5.81585,0.269845,2.552761,5.34162,5.354252,6.750725,0.004822
58,4.5228,10.60665,9.77925,0.227545,2.941597,4.629582,4.63212,4.702495,0.013127
59,8.186,9.93045,8.64805,0.293425,1.62221,4.223006,4.226211,5.224533,0.009479
60,2.2748,7.54695,6.78395,0.295765,1.576307,6.720695,6.724245,8.377512,0.002377
61,7.418,10.75715,7.69255,0.185695,3.747991,4.404463,4.700646,4.768109,0.014007
62,4.4644,7.37545,7.12485,0.350095,1.207772,5.807567,5.808434,7.293238,0.00244
63,4.0396,11.96885,6.92745,0.303775,1.811005,4.847654,4.863936,5.293738,0.007402
64,9.794,11.32905,7.23055,0.204535,1.809258,4.070547,4.353696,4.369765,0.014541
65,6.5292,8.51225,8.16785,0.385285,2.039786,4.624834,4.625653,5.841477,0.004169
66,7.4308,9.17585,5.14175,0.357265,0.968169,5.501627,5.518651,6.957939,0.003458
67,2.2124,11.48165,10.86145,0.137575,8.540221,3.775768,3.795128,3.800606,0.024244
68,6.5756,7.28935,6.51375,0.169375,6.084748,6.579915,6.585989,7.322681,0.00561
69,2.9756,10.61225,6.78465,0.251665,3.731958,5.733679,5.750632,6.191527,0.005769
70,4.262,7.84865,11.07635,0.392905,1.764351,4.400111,4.406871,5.558247,0.005842
71,4.302,6.04965,6.25895,0.132655,12.284773,8.466001,8.468732,9.155376,0.004061
72,2.3316,10.49745,5.56105,0.134395,9.372897,6.955391,7.51408,7.528248,0.005482
73,4.3244,10.24755,7.45035,0.292825,1.767445,5.081696,5.09077,6.081944,0.006118
74,8.4996,8.12095,8.05305,0.266215,3.120746,4.879161,4.879431,6.152372,0.006737
75,2.0788,10.89225,10.49815,0.337765,2.003169,4.389927,4.390726,5.509974,0.008253
76,8.45,8.30995,7.20465,0.111655,9.835528,4.354956,4.382066,4.392209,0.018461
77,9.0924,5.98875,11.13515,0.193975,2.312201,4.67589,4.926635,4.955022,0.010204
78,4.2724,7.62815,7.12555,0.252325,3.827585,6.262206,6.264818,7.827899,0.003712
79,8.3268,7.74575,7.61135,0.256825,3.007858,5.195151,5.195766,6.544952,0.005837
80,9.2644,9.47475,11.18555,0.251275,2.130578,3.793768,3.797769,3.896291,0.017362
81,5.2916,8.12865,8.68445,0.212695,4.237829,5.491493,5.49396,6.124762,0.007776
82,8.9132,8.07825,10.52755,0.351775,1.327795,3.998541,4.003688,5.067236,0.008093
83,8.0508,8.78805,7.51615,0.373105,1.337507,4.579565,4.582654,5.792747,0.004449
84,7.5828,7.25855,5.22295,0.235885,2.209683,6.671292,6.685328,8.372536,0.002939
85,8.8852,7.22635,6.71955,0.299815,2.647382,5.457683,5.459673,6.881592,0.003483
86,4.3788,5.93625,9.54755,0.246565,2.981085,6.086226,6.105991,6.941286,0.004485
87,5.0396,6.11615,9.08485,0.173125,4.980486,6.439145,6.461266,6.549147,0.00607
88,2.6196,9.14085,5.90125,0.249535,2.222788,6.726031,6.745025,7.983876,0.003441
89,2.7988,11.89745,7.29355,0.384175,1.584752,4.64327,4.654306,5.858777,0.005889
90,5.7796,10.71235,5.21245,0.169915,3.717506,5.864732,6.143458,6.190701,0.006497
91,4.7004,9.05685,11.20445,0.179815,4.845325,4.260853,4.428425,4.604643,0.016355
92,6.2484,8.31135,10.84675,0.339025,1.493135,4.228603,4.234194,5.343838,0.007961
93,8.1428,8.28685,9.39985,0.263545,2.070443,4.53212,4.535493,5.412558,0.009039
94,2.006,7.04365,7.85285,0.280285,1.83859,6.667584,6.671319,8.301243,0.002785
95,9.9268,10.80685,10.61365,0.340825,1.621302,3.388954,3.389262,4.297224,0.014208
96,3.17,6.24005,9.14575,0.280585,1.875612,6.194806,6.208475,7.756272,0.003587
97,5.1548,8.10695,5.74865,0.312415,0.954034,6.166356,6.177339,7.747542,0.002661
98,6.27,7.55115,9.53005,0.256495,2.273781,5.032273,5.039438,5.837173,0.007258
99,2.3788,7.92845,10.93495,0.266875,2.356223,5.319392,5.329725,5.853737,0.006802
100,2.5196,10.76905,10.62065,0.204445,4.496425,4.765271,4.819464,4.927836,0.013763
101,6.946,8.67885,8.75375,0.345475,2.004304,4.494473,4.494672,5.675363,0.005707
102,2.3924,7.45875,7.34325,0.262105,2.132966,6.716808,6.717387,8.35577,0.002948
103,8.9804,7.22355,10.57585,0.390685,1.288059,4.105211,4.112401,5.208149,0.006389
104,7.2108,11.16175,9.54055,0.386515,1.009241,3.669577,3.672052,4.647639,0.009337
105,8.5932,11.77215,11.35355,0.132265,18.88603,2.328277,2.344403,2.345051,0.063001
106,4.3228,11.24295,5.72765,0.234085,2.693178,5.744131,5.775527,5.848504,0.006298
107,4.2332,6.78255,6.78325,0.386995,0.957337,6.062757,6.062759,7.61427,0.001668
108,6.3932,10.63885,8.69985,0.330655,1.390602,4.183778,4.188025,5.285728,0.008486
109,7.5644,7.31035,5.32725,0.106375,12.322387,6.588078,6.747901,6.895579,0.007365
110,4.1308,11.12605,10.34415,0.237805,2.77557,4.426686,4.428813,4.502484,0.014309
111,6.7516,8.26095,5.52745,0.128515,11.552775,6.500057,6.824254,6.866836,0.007155
112,9.9244,8.05935,11.80995,0.360865,1.554819,3.659425,3.666397,4.470273,0.01062
113,2.8548,7.27535,9.05125,0.195505,4.961402,6.472012,6.482334,6.884881,0.005692
114,9.8996,7.85425,8.30365,0.284965,2.500173,4.637087,4.638508,5.860401,0.006752
115,8.61,9.69945,7.23755,0.208195,2.637945,4.880353,4.89115,5.00579,0.010172
116,7.8764,9.40965,6.38495,0.312325,2.104076,4.997088,5.007667,6.314363,0.0051
117,6.6092,5.01575,5.47915,0.273685,1.203863,7.836181,7.839799,9.7879,0.001216
118,3.7068,10.33575,6.75105,0.289225,2.850326,5.441057,5.454691,6.398261,0.005227
119,7.6244,6.84555,7.92565,0.273265,2.368581,5.460233,5.464729,6.875689,0.004484
120,2.2884,5.17745,6.68245,0.332515,0.752437,7.800535,7.809522,9.714878,0.00111
121,2.0372,8.47515,6.09655,0.145015,12.785276,8.151661,8.1763,8.273597,0.004326
122,3.0308,10.70885,9.19125,0.225355,3.610567,5.093764,5.098949,5.186761,0.010213
123,5.126,8.54865,6.88545,0.313315,1.6017,5.521175,5.527244,6.943627,0.003795
124,7.1708,5.23695,7.01215,0.248515,1.321996,6.807182,6.819137,8.537003,0.002529
125,9.9212,5.94675,5.71715,0.139255,7.607399,7.02721,7.029796,7.875553,0.005341
126,7.3116,10.78165,6.67125,0.192415,2.647625,4.838301,5.0756,5.096525,0.01035
127,8.218,10.52265,5.00805,0.347935,1.087348,5.097121,5.121024,6.299372,0.005222
128,6.6268,5.53865,9.80865,0.113545,9.864502,5.454456,5.712529,6.019206,0.010203
129,9.0052,8.16085,7.99075,0.213445,3.022995,4.993829,4.994514,5.760593,0.009056
130,3.438,6.11055,6.83015,0.143485,11.783024,8.348188,8.35642,9.113882,0.003839
131,8.6932,10.16355,5.45955,0.356575,0.994901,4.906586,4.923783,6.221181,0.005014
132,9.0068,9.04075,6.81405,0.379315,1.443589,4.599534,4.605287,5.825082,0.004299
133,2.3244,10.62695,11.87925,0.150655,7.121299,3.893552,3.915842,3.947555,0.022353
134,4.6524,8.89725,7.57495,0.304585,1.940381,5.296602,5.300984,6.656713,0.004686
135,8.6236,7.53925,9.90035,0.161875,5.889183,4.398259,4.58594,4.810139,0.015432
136,6.9452,7.28795,6.50745,0.384895,0.850163,5.513137,5.515708,6.952417,0.002168
137,2.5764,7.24105,10.43585,0.160705,8.434009,5.901295,6.233515,6.407459,0.008069
138,9.102,6.85185,10.36795,0.238405,2.26786,4.663539,4.677143,4.884345,0.009529
139,6.0716,9.77785,10.39175,0.288745,1.749551,4.174119,4.175556,5.014953,0.011119
140,5.5348,10.92305,10.70465,0.134185,5.067636,3.099056,3.116088,3.116328,0.035791
141,9.146,7.00725,10.26505,0.382795,1.387175,4.230243,4.237788,5.36508,0.00589
142,3.57,10.70045,6.10425,0.282415,2.398065,5.655868,5.676336,6.366296,0.005234
143,4.5388,10.00745,9.36695,0.309895,2.107795,4.507118,4.508632,5.671352,0.007924
144,2.1204,6.45425,9.70435,0.312085,1.760227,5.995526,6.008639,7.508501,0.003536
145,5.6644,11.53975,9.54615,0.273325,1.586189,4.114197,4.118764,4.393692,0.013222
146,3.0268,5.22715,8.26865,0.123115,12.230322,8.441971,8.543095,8.5855,0.004024
147,7.1028,9.91155,7.15495,0.115315,8.054063,4.18118,4.227438,4.275161,0.019322
148,5.7852,7.08285,5.14315,0.161995,3.587704,7.74291,7.764021,8.876694,0.003333
149,4.038,10.09705,10.79145,0.356995,1.616465,4.095261,4.096519,5.161732,0.00851
150,9.0412,7.18505,5.38535,0.351565,0.669836,5.865277,5.873006,7.400321,0.002063
151,7.2996,5.96355,8.53955,0.200605,3.58555,5.995286,6.011773,6.594288,0.005637
152,6.1188,9.74075,7.72545,0.102445,11.004619,3.746182,3.759788,3.761207,0.025949
153,9.5484,11.92545,11.03645,0.118615,14.998487,2.070552,2.084519,2.089117,0.080991
154,5.254,8.68795,5.13545,0.242875,2.169201,6.61489,6.63905,7.874392,0.003507
155,8.4252,8.32955,9.03165,0.322825,1.956699,4.393211,4.394989,5.553309,0.006764
156,6.8276,8.29105,9.42155,0.295675,2.066975,4.606559,4.609746,5.809054,0.007236
157,9.4412,8.04745,11.55865,0.234565,1.567386,3.949691,4.057648,4.068101,0.015341
158,7.8372,9.07365,9.35155,0.109315,6.564137,3.157994,3.170105,3.170465,0.035469
159,9.958,11.27445,7.38875,0.340285,1.638246,3.947744,3.956577,4.768498,0.009246
160,3.2212,9.89755,10.27065,0.192235,4.539882,4.902524,4.973752,5.057632,0.01313
161,8.1852,9.32635,6.83855,0.327865,2.032784,4.766933,4.774481,6.02699,0.005244
162,4.142,8.57385,5.94605,0.184615,5.163323,6.921706,6.941873,7.446863,0.004568
163,8.234,7.81085,7.10665,0.290395,2.380404,5.240125,5.242783,6.606652,0.004468
164,7.1484,9.05545,10.16005,0.141775,5.299165,3.697,3.727798,3.7458,0.02462
165,3.3324,11.28565,10.84045,0.359185,1.507113,3.961003,3.961734,4.98915,0.009708
166,3.3252,8.73625,8.65435,0.294385,3.011808,5.326453,5.326739,6.673681,0.005156
167,3.1108,9.93255,11.56215,0.350935,1.481544,4.146612,4.149539,5.220552,0.008939
168,5.6276,6.74895,7.49865,0.200215,4.855338,6.444273,6.449094,7.688169,0.004786
169,2.1228,5.30205,5.67655,0.159025,4.013241,10.304965,10.310276,12.567813,0.00156
170,8.8668,7.29845,9.06875,0.345865,1.360353,4.54896,4.55366,5.755271,0.005228
171,3.8076,7.64425,7.56235,0.365485,1.210292,5.598424,5.598703,7.032825,0.002675
172,7.0084,10.98465,9.29905,0.375625,1.097168,3.794071,3.79693,4.802681,0.008901
173,8.2796,5.85155,9.54475,0.399205,0.967315,4.837717,4.84878,6.131091,0.003826
174,8.7396,6.85675,5.28875,0.112825,11.835849,6.825922,7.015126,7.186371,0.006763
175,6.5556,9.22625,5.01575,0.297895,1.231204,5.925425,5.94821,7.456298,0.003814
176,8.5772,9.69035,7.83955,0.342745,1.246401,4.29265,4.297073,5.433405,0.006631
177,8.9156,6.29605,7.54205,0.339115,1.24048,5.373368,5.377974,6.784817,0.002964
178,6.378,9.69805,9.77225,0.172345,4.459535,4.177617,4.215084,4.267442,0.018599
179,8.8228,7.56445,9.43625,0.131335,6.014016,4.107481,4.167778,4.221607,0.019739
180,5.8468,5.50295,11.04905,0.286285,2.058181,5.332942,5.359334,5.84901,0.006201
181,3.2956,10.01515,9.05265,0.171205,4.412424,5.066501,5.21333,5.253091,0.012267
182,6.7884,8.12165,11.84985,0.254455,1.678745,4.275803,4.28652,4.307621,0.0124
183,2.0012,5.17395,9.43345,0.399325,0.724968,6.225048,6.243124,7.829008,0.002302
184,2.7604,7.10455,11.40115,0.382495,1.733732,4.819641,4.830615,6.07753,0.005197
185,5.7452,10.57165,10.56885,0.336985,1.58269,3.879842,3.879846,4.898153,0.010693
186,3.9556,7.56655,5.73325,0.247915,1.627616,7.083509,7.095296,8.839898,0.002602
187,3.2444,5.52395,10.44635,0.368815,1.058208,5.620543,5.639986,7.088595,0.003732
188,7.4156,5.50085,7.86405,0.264175,1.995433,6.154377,6.167659,7.743399,0.003283
189,9.3988,8.92175,11.56285,0.222175,2.491873,3.677267,3.901813,3.909136,0.019333
190,9.8236,7.45805,11.31015,0.261055,1.573605,4.133485,4.144902,4.28736,0.012132
191,3.4148,5.65625,10.42955,0.254965,2.074925,6.127115,6.153968,6.71376,0.004712
192,6.7924,5.75005,8.67885,0.214675,5.089422,6.086719,6.105222,6.837252,0.004956
193,2.6716,5.44065,9.40195,0.175465,3.380635,7.473649,7.510084,7.726132,0.003937
194,8.6348,10.02425,5.50155,0.322015,1.394008,5.0364,5.054625,6.251656,0.005335
195,8.1636,9.56435,10.74245,0.376615,1.129136,3.663644,3.665529,4.64193,0.009482
196,2.4372,7.88715,8.94135,0.263605,3.153239,5.909999,5.91424,7.37347,0.004702
197,6.7044,10.25315,10.17545,0.229375,3.341596,4.230522,4.230692,4.36294,0.015851
198,8.0252,5.88095,10.08025,0.234775,2.541573,5.261183,5.282469,5.60203,0.006868
199,3.6012,10.54715,7.69185,0.276715,2.120425,5.152132,5.161721,5.886009,0.00667
200,9.4948,5.93345,7.65475,0.315235,1.619955,5.482388,5.489542,6.923733,0.003198
201,2.6564,7.59105,9.86045,0.236485,3.108421,5.84525,5.85516,6.462215,0.00599
202,4.7156,6.22185,7.34535,0.235045,2.731889,6.792167,6.799059,8.480416,0.0031
203,8.9532,11.99405,5.76895,0.375265,1.214695,4.30714,4.326067,5.109167,0.007791
204,3.2484,10.79145,9.17235,0.238525,3.05464,4.953325,4.958568,5.176181,0.010035
205,3.3084,6.97785,8.79575,0.125995,10.47748,6.192681,6.325246,6.447042,0.008573
206,2.8396,6.00695,5.46655,0.326905,0.977551,7.881228,7.884406,9.806965,0.000998
207,6.5588,5.48685,11.94995,0.318445,1.904972,4.884557,4.911386,5.351648,0.007237
208,6.8468,5.55195,6.70275,0.340345,0.814568,6.404243,6.409733,8.054072,0.001689
209,6.0508,7.85285,11.04065,0.203395,2.94286,4.59085,4.833886,4.846759,0.012289
210,5.4972,9.36555,11.30525,0.131755,5.716259,3.405951,3.418573,3.439079,0.029456
211,3.2892,11.61745,7.31315,0.324595,1.979373,4.855325,4.867747,5.641475,0.006509
212,6.214,9.31515,8.36035,0.309415,2.171443,4.658009,4.660588,5.870973,0.006526
213,2.6612,5.37205,11.17995,0.138895,5.227028,6.607162,7.162054,7.225232,0.005558
214,6.6948,6.89735,10.84815,0.100375,8.755219,3.807395,3.835165,3.853617,0.023685
215,8.2332,6.90225,6.91905,0.154435,6.10722,6.245055,6.245164,6.632678,0.007254
216,5.2076,5.06755,7.41045,0.213985,1.662267,7.426505,7.446276,9.270691,0.002637
217,2.3116,5.16275,5.39445,0.256795,1.440717,9.354064,9.356145,11.528611,0.000869
218,8.2044,7.99005,6.99465,0.224485,3.74556,5.476342,5.481271,6.657778,0.006106
219,6.2892,11.39135,7.05905,0.119935,7.048557,4.082694,4.173169,4.295818,0.019069
220,5.1892,7.97885,9.27525,0.179425,5.284544,5.435287,5.565942,5.572721,0.010089
221,6.2316,7.56305,7.58895,0.398245,0.997608,5.082005,5.08206,6.412989,0.002797
222,4.366,11.44105,10.13625,0.173035,4.121108,3.871071,3.948653,3.996635,0.021291
223,5.5364,5.40355,8.71245,0.111775,13.412205,6.482176,6.754349,7.086053,0.007126
224,4.894,7.57285,9.85345,0.195595,4.471319,5.494727,5.510888,5.522057,0.008979
225,8.9476,6.39265,11.46415,0.327925,1.373184,4.32941,4.344561,4.989831,0.008377
226,8.226,5.82145,5.26495,0.293905,1.096008,6.976173,6.979713,8.752862,0.0015
227,6.098,6.77065,5.64435,0.176275,6.129538,7.394557,7.404946,8.892868,0.003541
228,5.554,8.39045,5.22015,0.306685,1.200927,6.275838,6.29239,7.891927,0.00275
229,8.3036,7.22705,11.65945,0.397705,1.136126,3.953595,3.962638,5.019173,0.007662
230,8.99,5.22435,6.23095,0.236305,1.548115,6.885674,6.893012,8.638167,0.002338
231,7.9116,5.08995,8.11885,0.181915,6.086271,6.569609,6.595994,7.25518,0.004521
232,6.6076,8.92595,5.85225,0.324445,1.450042,5.50614,5.518417,6.946571,0.003674
233,6.5708,5.97195,8.72785,0.390745,1.178738,5.278678,5.28754,6.669107,0.002872
234,7.0068,8.04045,9.82475,0.115795,8.245313,3.74877,3.76332,3.776464,0.025247
235,7.5988,7.87245,5.49245,0.281665,1.885634,6.044034,6.056497,7.611118,0.003126
236,5.2292,6.67265,9.82335,0.108445,11.767116,4.823819,4.893301,4.962402,0.014568
237,4.3236,11.28705,5.78715,0.227695,2.800929,5.74353,5.767881,5.775243,0.006492
238,9.0716,7.81645,9.47755,0.382525,1.192526,4.18988,4.193388,5.308536,0.005614
239,7.4636,7.94105,11.50825,0.384565,1.377483,3.923338,3.930136,4.97375,0.008023
240,8.678,7.92145,9.14645,0.320305,1.809264,4.448458,4.451654,5.624747,0.006556
241,7.87,11.87225,8.87765,0.342025,1.031347,3.720747,3.726191,4.443965,0.011449
242,7.2916,5.19005,8.10065,0.228475,2.194184,6.421247,6.441471,7.806053,0.003659
243,2.2004,9.72325,5.35945,0.298915,1.746936,6.568344,6.592225,8.111259,0.003175
244,7.5812,5.08435,9.80305,0.209815,2.974746,5.88962,5.92341,6.171086,0.005693
245,3.6204,6.23585,6.98695,0.278365,1.55288,6.980842,6.984979,8.708947,0.002153
246,5.1532,6.78465,9.81005,0.331315,2.392559,5.102473,5.112114,6.432573,0.004706
247,4.886,5.39585,10.52825,0.116575,8.013902,5.893232,6.272451,6.625446,0.007895
248,3.8428,11.80575,5.77175,0.203065,3.278237,5.604492,5.873549,5.912733,0.006874
249,8.138,9.37605,6.78045,0.280645,1.735483,4.933319,4.94261,6.057258,0.0062
250,6.5044,11.90585,10.05015,0.363985,0.973841,3.588065,3.590855,4.540672,0.011786
251,3.8436,9.75125,9.79255,0.165655,6.401867,4.675139,4.710539,4.763169,0.015106
252,3.0332,10.90835,6.09935,0.316375,1.401137,5.543517,5.562701,6.536124,0.004902
253,5.8916,7.50635,6.89875,0.275215,3.074575,5.909137,5.911982,7.417671,0.003577
254,4.1788,9.58255,7.55045,0.105805,15.166049,4.539432,4.555964,4.5628,0.017638
255,2.4268,8.63335,9.17795,0.359935,2.269269,5.074566,5.075884,6.369926,0.004233
256,2.642,5.09695,10.58565,0.149155,4.506572,7.144448,7.449502,7.511386,0.004577
