,in:p1,in:p2,in:p3,in:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:Elastic Deflections
1,2,5,5,0.1,1.918974,14.126329,14.154742,14.349609,-1.550935
2,4.666667,5,5,0.1,3.641259,11.174804,11.201366,11.342768,-2.459516
3,7.333333,5,5,0.1,14.925781,9.531781,9.556207,9.671831,-3.368095
4,10,5,5,0.1,12.323716,8.449775,8.472363,8.572329,-4.276676
5,2,7.333333,5,0.1,10.19861,10.06122,10.445251,10.858502,-2.991913
6,4.666667,7.333333,5,0.1,15.307874,8.018331,8.307709,8.565568,-4.688346
7,7.333333,7.333333,5,0.1,12.462033,6.861771,7.102787,7.297008,-6.384779
8,10,7.333333,5,0.1,10.480007,6.094013,6.304665,6.46413,-8.081212
9,2,9.666667,5,0.1,13.225493,8.172088,8.599356,9.231866,-4.158377
10,4.666667,9.666667,5,0.1,10.044124,6.581182,6.906241,7.39632,-6.404636
11,7.333333,9.666667,5,0.1,8.009849,5.658731,5.930407,6.333924,-8.650895
12,10,9.666667,5,0.1,6.067057,5.039204,5.277064,5.626954,-10.897154
13,2,12,5,0.1,11.380705,6.905552,7.345797,7.980282,-5.366399
14,4.666667,12,5,0.1,8.603476,5.621417,5.961876,6.48495,-8.121789
15,7.333333,12,5,0.1,5.594209,4.858261,5.144699,5.595528,-10.877179
16,10,12,5,0.1,4.16114,4.339249,4.590911,4.991909,-13.632569
17,2,5,7.333333,0.1,9.46725,9.985256,10.259944,10.670609,-3.017685
18,4.666667,5,7.333333,0.1,16.189526,7.962197,8.164942,8.451035,-4.730503
19,7.333333,5,7.333333,0.1,14.849017,6.815738,6.982583,7.2087,-6.443319
20,10,5,7.333333,0.1,10.967666,6.054223,6.198935,6.389534,-8.156137
21,2,7.333333,7.333333,0.1,24.826263,6.898091,6.929566,6.984077,-6.951784
22,4.666667,7.333333,7.333333,0.1,13.757584,5.444454,5.471699,5.510123,-11.094837
23,7.333333,7.333333,7.333333,0.1,13.966556,4.639394,4.663568,4.694547,-15.237887
24,10,7.333333,7.333333,0.1,10.64261,4.110491,4.1324,4.158959,-19.380938
25,2,9.666667,7.333333,0.1,18.034048,5.505367,5.555239,5.597618,-10.918051
26,4.666667,9.666667,7.333333,0.1,15.540517,4.352829,4.379401,4.412762,-17.417021
27,7.333333,9.666667,7.333333,0.1,10.616499,3.71183,3.729976,3.758234,-23.915989
28,10,9.666667,7.333333,0.1,7.653794,3.289928,3.303854,3.328774,-30.414961
29,2,12,7.333333,0.1,18.598518,4.792277,4.881592,4.918483,-13.859032
30,4.666667,12,7.333333,0.1,11.195843,3.802092,3.846638,3.879214,-22.032276
31,7.333333,12,7.333333,0.1,7.337653,3.246912,3.275574,3.303761,-30.205516
32,10,12,7.333333,0.1,5.327793,2.880151,2.901042,2.926128,-38.37876
33,2,5,9.666667,0.1,11.79531,8.063335,8.378206,8.92207,-4.198532
34,4.666667,5,9.666667,0.1,10.344138,6.494764,6.73614,7.145077,-6.469769
35,7.333333,5,9.666667,0.1,7.239457,5.585292,5.787233,6.125774,-8.741062
36,10,5,9.666667,0.1,5.532468,4.974357,5.151125,5.445536,-11.012355
37,2,7.333333,9.666667,0.1,15.146009,5.513836,5.520577,5.553612,-11.037864
38,4.666667,7.333333,9.666667,0.1,13.055306,4.350711,4.36496,4.388192,-17.608857
39,7.333333,7.333333,9.666667,0.1,8.796591,3.705399,3.724017,3.741029,-24.179848
40,10,7.333333,9.666667,0.1,6.332768,3.281986,3.301725,3.315363,-30.750841
41,2,9.666667,9.666667,0.1,18.445601,4.077811,4.110683,4.113974,-21.272296
42,4.666667,9.666667,9.666667,0.1,9.810776,3.214202,3.241815,3.242488,-34.089282
43,7.333333,9.666667,9.666667,0.1,8.114183,2.737326,2.761353,2.761509,-46.906266
44,10,9.666667,9.666667,0.1,30.959204,2.42447,2.445724,2.446228,-59.723251
45,2,12,9.666667,0.1,14.200167,3.401167,3.406508,3.411782,-30.353727
46,4.666667,12,9.666667,0.1,11.682222,2.680362,2.684548,2.688022,-48.644643
47,7.333333,12,9.666667,0.1,32.930771,2.282528,2.286039,2.288792,-66.935554
48,10,12,9.666667,0.1,19.622366,2.021579,2.02465,2.026997,-85.226469
49,2,5,12,0.1,9.478892,6.783117,7.099624,7.67891,-5.413419
50,4.666667,5,12,0.1,6.615987,5.520561,5.771676,6.226984,-8.199319
51,7.333333,5,12,0.1,4.355646,4.771052,4.984445,5.36874,-10.988796
52,10,5,12,0.1,3.933784,4.261461,4.449905,4.787695,-13.778275
53,2,7.333333,12,0.1,14.962231,4.786839,4.837576,4.845418,-13.863738
54,4.666667,7.333333,12,0.1,8.973223,3.802983,3.818251,3.833901,-22.034157
55,7.333333,7.333333,12,0.1,5.836213,3.249476,3.251879,3.272604,-30.204574
56,10,7.333333,12,0.1,4.232256,2.879344,2.884356,2.902238,-38.374994
57,2,9.666667,12,0.1,12.403597,3.376738,3.422516,3.429317,-30.368915
58,4.666667,9.666667,12,0.1,11.716873,2.660604,2.696287,2.702258,-48.665822
59,7.333333,9.666667,12,0.1,28.478624,2.265516,2.295748,2.300704,-66.962719
60,10,9.666667,12,0.1,17.510748,2.006418,2.033116,2.03744,-85.259631
61,2,12,12,0.1,14.1844,2.683913,2.706027,2.723569,-48.966963
62,4.666667,12,12,0.1,30.054312,2.114144,2.13174,2.146338,-78.586683
63,7.333333,12,12,0.1,14.772192,1.799985,1.815035,1.827753,-108.206391
64,10,12,12,0.1,8.338072,1.594018,1.607381,1.618787,-137.826115
65,2,5,5,0.2,0.295698,18.693369,19.023361,19.687475,-0.713887
66,4.666667,5,5,0.2,0.327663,15.956769,16.237022,16.79866,-0.979762
67,7.333333,5,5,0.2,0.367576,14.15114,14.398838,14.894138,-1.245637
68,10,5,5,0.2,0.421421,12.845825,13.070139,13.518075,-1.511513
69,2,7.333333,5,0.2,0.660039,11.541451,12.270476,13.557495,-1.762738
70,4.666667,7.333333,5,0.2,1.867181,9.905627,10.527675,11.624161,-2.395212
71,7.333333,7.333333,5,0.2,1.90357,8.812359,9.363804,10.334955,-3.027686
72,10,7.333333,5,0.2,1.821732,8.015854,8.516277,9.397042,-3.66016
73,2,9.666667,5,0.2,2.382694,8.522891,9.107877,10.208919,-3.160748
74,4.666667,9.666667,5,0.2,2.224456,7.352746,7.854877,8.798541,-4.253125
75,7.333333,9.666667,5,0.2,2.043412,6.561107,7.007785,7.846457,-5.345502
76,10,9.666667,5,0.2,1.74649,5.980005,6.386266,7.148575,-6.43788
77,2,12,5,0.2,2.484561,6.865324,7.36043,8.346967,-4.79435
78,4.666667,12,5,0.2,2.146363,5.949841,6.377079,7.227213,-6.397538
79,7.333333,12,5,0.2,1.736776,5.323736,5.70498,6.46294,-8.000726
80,10,12,5,0.2,1.669566,4.861019,5.20848,5.89887,-9.603915
81,2,5,7.333333,0.2,0.74781,11.164665,12.066594,12.856119,-1.785593
82,4.666667,5,7.333333,0.2,1.678284,9.582073,10.353866,11.026722,-2.426777
83,7.333333,5,7.333333,0.2,1.910282,8.524512,9.209745,9.805955,-3.067961
84,10,5,7.333333,0.2,1.760669,7.754054,8.376465,8.917397,-3.709145
85,2,7.333333,7.333333,0.2,3.543005,9.449567,9.594914,9.899254,-2.887168
86,4.666667,7.333333,7.333333,0.2,5.049688,8.056994,8.179657,8.43591,-3.977159
87,7.333333,7.333333,7.333333,0.2,4.055701,7.140611,7.248629,7.474055,-5.06715
88,10,7.333333,7.333333,0.2,4.16567,6.479209,6.576796,6.780342,-6.157141
89,2,9.666667,7.333333,0.2,3.872055,6.960512,7.422717,8.194014,-4.883154
90,4.666667,9.666667,7.333333,0.2,3.657662,5.955533,6.347117,6.99916,-6.675003
91,7.333333,9.666667,7.333333,0.2,2.790039,5.288676,5.634394,6.208875,-8.466851
92,10,9.666667,7.333333,0.2,2.225366,4.804974,5.117868,5.636945,-10.2587
93,2,12,7.333333,0.2,3.4918,5.571379,5.972861,6.737127,-7.363982
94,4.666667,12,7.333333,0.2,3.212774,4.783828,5.125356,5.777231,-10.001524
95,7.333333,12,7.333333,0.2,2.381246,4.256861,4.559069,5.136281,-12.639066
96,10,12,7.333333,0.2,1.857794,3.872683,4.146592,4.669795,-15.276609
97,2,5,9.666667,0.2,2.250158,8.153618,8.960174,9.534956,-3.198772
98,4.666667,5,9.666667,0.2,2.030082,7.03354,7.728814,8.219941,-4.303189
99,7.333333,5,9.666667,0.2,2.267551,6.276005,6.89598,7.331791,-5.407606
100,10,5,9.666667,0.2,1.931543,5.720022,6.284764,6.680532,-6.512024
101,2,7.333333,9.666667,0.2,4.03372,6.809117,7.203943,7.890775,-5.044299
102,4.666667,7.333333,9.666667,0.2,3.066922,5.826707,6.1614,6.744184,-6.898463
103,7.333333,7.333333,9.666667,0.2,2.883133,5.174695,5.470203,5.985286,-8.752625
104,10,7.333333,9.666667,0.2,2.2713,4.701684,4.969118,5.435667,-10.606789
105,2,9.666667,9.666667,0.2,5.164207,5.8998,5.969898,6.125057,-7.806671
106,4.666667,9.666667,9.666667,0.2,3.429465,5.024398,5.082895,5.212686,-10.794299
107,7.333333,9.666667,9.666667,0.2,3.127756,4.449931,4.501107,4.614861,-13.781925
108,10,9.666667,9.666667,0.2,2.993856,4.035995,4.082032,4.184498,-16.769553
109,2,12,9.666667,0.2,3.272316,4.737647,5.049405,5.25668,-11.196753
110,4.666667,12,9.666667,0.2,3.303049,4.043692,4.306325,4.464516,-15.477426
111,7.333333,12,9.666667,0.2,2.512924,3.585846,3.816978,3.948018,-19.758098
112,10,12,9.666667,0.2,2.009425,3.2549,3.46366,3.577266,-24.038771
113,2,5,12,0.2,2.274395,6.504544,7.2426,7.703326,-4.860709
114,4.666667,5,12,0.2,2.162128,5.636406,6.276238,6.6713,-6.479687
115,7.333333,5,12,0.2,1.999793,5.042933,5.615409,5.966681,-8.098665
116,10,5,12,0.2,1.694498,4.604432,5.127085,5.446496,-9.717642
117,2,7.333333,12,0.2,3.214733,5.423464,5.775354,6.377919,-7.506357
118,4.666667,7.333333,12,0.2,2.556999,4.657254,4.957259,5.469931,-10.20025
119,7.333333,7.333333,12,0.2,1.947303,4.144508,4.410245,4.864038,-12.894142
120,10,7.333333,12,0.2,1.576151,3.770654,4.011643,4.423064,-15.588036
121,2,9.666667,12,0.2,3.349498,4.667031,4.863288,5.198858,-11.444516
122,4.666667,9.666667,12,0.2,3.401837,3.984493,4.148868,4.427691,-15.722305
123,7.333333,9.666667,12,0.2,2.591345,3.533929,3.678044,3.921305,-20.000093
124,10,9.666667,12,0.2,2.052406,3.208127,3.337951,3.556364,-24.277883
125,2,12,12,0.2,4.358559,4.09984,4.13139,4.212636,-16.890369
126,4.666667,12,12,0.2,2.879476,3.487555,3.513258,3.580669,-23.392553
127,7.333333,12,12,0.2,2.0177,3.086827,3.108992,3.1678,-29.894734
128,10,12,12,0.2,1.526301,2.798537,2.818286,2.871101,-36.396917
129,2,5,5,0.3,0.109123,23.07357,23.863689,24.753271,-0.459758
130,4.666667,5,5,0.3,0.114601,20.412735,21.111795,21.899817,-0.585796
131,7.333333,5,5,0.3,0.120486,18.500725,19.134277,19.849003,-0.711833
132,10,5,5,0.3,0.126869,17.041574,17.625113,18.283764,-0.837871
133,2,7.333333,5,0.3,0.242384,13.315974,14.138239,15.734603,-1.31891
134,4.666667,7.333333,5,0.3,0.3084,11.817496,12.546146,13.960541,-1.675167
135,7.333333,7.333333,5,0.3,0.463562,10.73239,11.393476,12.676581,-2.031424
136,10,7.333333,5,0.3,0.858625,9.900006,10.509386,11.69204,-2.387681
137,2,9.666667,5,0.3,1.677989,9.326066,9.923845,11.141974,-2.707672
138,4.666667,9.666667,5,0.3,1.445944,8.301702,8.833186,9.91594,-3.420773
139,7.333333,9.666667,5,0.3,1.226514,7.554368,8.037614,9.021924,-4.133874
140,10,9.666667,5,0.3,1.257159,6.978194,7.424322,8.332909,-4.846975
141,2,12,5,0.3,1.474121,7.310265,7.778871,8.770766,-4.437901
142,4.666667,12,5,0.3,1.405302,6.525115,6.942965,7.827218,-5.579757
143,7.333333,12,5,0.3,1.304048,5.948418,6.329073,7.13448,-6.721613
144,10,12,5,0.3,1.079956,5.501752,5.853645,6.598107,-7.863469
145,2,5,7.333333,0.3,0.262113,12.47838,14.124135,14.549927,-1.364793
146,4.666667,5,7.333333,0.3,0.359375,11.073954,12.534104,12.910543,-1.733056
147,7.333333,5,7.333333,0.3,0.903853,10.057034,11.382802,11.723864,-2.101319
148,10,5,7.333333,0.3,0.789176,9.276986,10.499701,10.8138,-2.469582
149,2,7.333333,7.333333,0.3,0.464718,11.238539,11.618801,12.063512,-1.884269
150,4.666667,7.333333,7.333333,0.3,1.201548,9.939779,10.275882,10.668156,-2.411365
151,7.333333,7.333333,7.333333,0.3,1.392647,9.00715,9.31156,9.666389,-2.938461
152,10,7.333333,7.333333,0.3,1.899336,8.29573,8.575984,8.902367,-3.46556
153,2,9.666667,7.333333,0.3,1.453882,7.83309,8.359766,9.401128,-3.688587
154,4.666667,9.666667,7.333333,0.3,1.849434,6.943064,7.408666,8.328509,-4.696867
155,7.333333,9.666667,7.333333,0.3,1.533219,6.300487,6.722262,7.555069,-5.705147
156,10,9.666667,7.333333,0.3,1.277169,5.808561,6.196924,6.963466,-6.713427
157,2,12,7.333333,0.3,1.543028,5.973125,6.400716,7.294413,-6.275692
158,4.666667,12,7.333333,0.3,1.302854,5.305284,5.684226,6.475667,-7.963081
159,7.333333,12,7.333333,0.3,1.181931,4.820689,5.164508,5.882246,-9.65047
160,10,12,7.333333,0.3,0.962344,4.448451,4.765386,5.426775,-11.337859
161,2,5,9.666667,0.3,1.755748,8.518337,10.043307,10.049212,-2.893184
162,4.666667,5,9.666667,0.3,1.457061,7.582458,8.938692,8.945226,-3.65205
163,7.333333,5,9.666667,0.3,1.216302,6.899754,8.13314,8.139817,-4.410916
164,10,5,9.666667,0.3,1.45233,6.373441,7.512251,7.518884,-5.169783
165,2,7.333333,9.666667,0.3,1.285223,7.462152,8.216081,8.777012,-3.848074
166,4.666667,7.333333,9.666667,0.3,2.615453,6.614348,7.281943,7.777355,-4.900408
167,7.333333,7.333333,9.666667,0.3,2.160813,6.002259,6.607632,7.056164,-5.952742
168,10,7.333333,9.666667,0.3,1.820723,5.533668,6.091475,6.504329,-7.005076
169,2,9.666667,9.666667,0.3,2.421636,6.852262,7.063392,7.312445,-5.095283
170,4.666667,9.666667,9.666667,0.3,2.34821,6.058733,6.245121,6.464506,-6.518038
171,7.333333,9.666667,9.666667,0.3,1.83036,5.48928,5.657961,5.856228,-7.940792
172,10,9.666667,9.666667,0.3,1.488105,5.055088,5.210298,5.392556,-9.363548
173,2,12,9.666667,0.3,1.773871,5.283624,5.658128,6.410009,-7.960629
174,4.666667,12,9.666667,0.3,1.323676,4.679006,5.009442,5.671938,-10.157228
175,7.333333,12,9.666667,0.3,1.039531,4.243453,4.542412,5.141125,-12.353825
176,10,12,9.666667,0.3,1.281419,3.910511,4.185547,4.735194,-14.550423
177,2,5,12,0.3,1.567981,6.535801,7.756966,7.974002,-4.90143
178,4.666667,5,12,0.3,1.55661,5.833591,6.922726,7.117507,-6.153929
179,7.333333,5,12,0.3,1.319636,5.317886,6.310221,6.488397,-7.406427
180,10,5,12,0.3,1.43856,4.918492,5.83595,6.001136,-8.658926
181,2,7.333333,12,0.3,1.433501,5.622496,6.31111,6.700199,-6.507712
182,4.666667,7.333333,12,0.3,1.260478,4.993886,5.605125,5.949344,-8.254564
183,7.333333,7.333333,12,0.3,1.166399,4.537768,5.092914,5.404896,-10.001416
184,10,7.333333,12,0.3,0.972498,4.187405,4.699499,4.986881,-11.748268
185,2,9.666667,12,0.3,1.448869,5.083677,5.499574,6.018663,-8.449956
186,4.666667,9.666667,12,0.3,1.064994,4.50216,4.869662,5.327596,-10.783819
187,7.333333,9.666667,12,0.3,0.926798,4.083213,4.416006,4.830298,-13.117682
188,10,9.666667,12,0.3,0.878169,3.762942,4.06929,4.450428,-15.451546
189,2,12,12,0.3,1.529355,4.714116,4.840844,4.993017,-10.773075
190,4.666667,12,12,0.3,1.693333,4.166698,4.278365,4.412158,-13.816051
191,7.333333,12,12,0.3,1.358381,3.774203,3.875137,3.995905,-16.859027
192,10,12,12,0.3,1.12974,3.47511,3.567903,3.678826,-19.902002
193,2,5,5,0.4,0.052272,28.48101,29.72617,30.006763,-0.330051
194,4.666667,5,5,0.4,0.053496,25.759167,26.886662,27.157391,-0.402269
195,7.333333,5,5,0.4,0.054737,23.692999,24.730827,24.990629,-0.474487
196,10,5,5,0.4,0.056019,22.055548,23.022142,23.271347,-0.546706
197,2,7.333333,5,0.4,0.113867,15.967549,16.833273,18.600817,-0.961379
198,4.666667,7.333333,5,0.4,0.122664,14.471354,15.255662,16.857342,-1.170366
199,7.333333,7.333333,5,0.4,0.135187,13.32966,14.051893,15.527032,-1.379353
200,10,7.333333,5,0.4,0.153024,12.421501,13.094386,14.468889,-1.58834
201,2,9.666667,5,0.4,0.411167,10.835269,11.454191,12.798085,-2.101803
202,4.666667,9.666667,5,0.4,0.780671,9.839972,10.401799,11.621677,-2.550233
203,7.333333,9.666667,5,0.4,0.974665,9.076572,9.59465,10.719506,-2.998664
204,10,9.666667,5,0.4,0.882754,8.467078,8.950253,9.999303,-3.447094
205,2,12,5,0.4,1.155965,8.33097,8.790362,9.82009,-3.608271
206,4.666667,12,5,0.4,1.022362,7.579772,7.997585,8.934066,-4.364339
207,7.333333,12,5,0.4,1.017003,7.000872,7.386669,8.251357,-5.120406
208,10,12,5,0.4,0.856218,6.537104,6.897269,7.704485,-5.876474
209,2,5,7.333333,0.4,0.117824,14.620998,16.977713,17.078789,-1.011854
210,4.666667,5,7.333333,0.4,0.130641,13.250833,15.38654,15.478261,-1.231524
211,7.333333,5,7.333333,0.4,0.148844,12.205355,14.17244,14.256976,-1.451194
212,10,5,7.333333,0.4,0.178445,11.373752,13.206719,13.285522,-1.670864
213,2,7.333333,7.333333,0.4,0.16064,13.574116,14.198568,14.737977,-1.330769
214,4.666667,7.333333,7.333333,0.4,0.192045,12.275592,12.840306,13.328427,-1.625331
215,7.333333,7.333333,7.333333,0.4,0.245449,11.290138,11.809499,12.258626,-1.919894
216,10,7.333333,7.333333,0.4,0.357983,10.509307,10.992727,11.410918,-2.214457
217,2,9.666667,7.333333,0.4,0.994951,9.181133,9.738966,10.89827,-2.783238
218,4.666667,9.666667,7.333333,0.4,0.877135,8.314996,8.819668,9.868227,-3.393536
219,7.333333,9.666667,7.333333,0.4,0.773984,7.655245,8.119524,9.083989,-4.003834
220,10,9.666667,7.333333,0.4,0.97587,7.131109,7.563358,8.461168,-4.614133
221,2,12,7.333333,0.4,1.036996,6.775801,7.220437,8.200823,-5.044037
222,4.666667,12,7.333333,0.4,0.94517,6.144916,6.547808,7.435927,-6.136826
223,7.333333,12,7.333333,0.4,0.774616,5.662709,6.033758,6.851538,-7.229796
224,10,12,7.333333,0.4,0.65272,5.27868,5.624408,6.386277,-8.322767
225,2,5,9.666667,0.4,0.815065,9.51395,11.220492,11.885609,-2.370764
226,4.666667,5,9.666667,0.4,0.684963,8.639909,10.189282,10.793811,-2.874539
227,7.333333,5,9.666667,0.4,0.825226,7.969547,9.398444,9.956383,-3.378315
228,10,5,9.666667,0.4,0.726496,7.434352,8.767104,9.287782,-3.882091
229,2,7.333333,9.666667,0.4,0.835857,8.562129,9.708538,10.044645,-2.929656
230,4.666667,7.333333,9.666667,0.4,0.742512,7.754373,8.792458,9.096072,-3.571971
231,7.333333,7.333333,9.666667,0.4,0.696173,7.139106,8.094689,8.373722,-4.214285
232,10,7.333333,9.666667,0.4,0.983962,6.650316,7.54037,7.799966,-4.856599
233,2,9.666667,9.666667,0.4,1.375825,8.078918,8.437949,8.767343,-3.6675
234,4.666667,9.666667,9.666667,0.4,1.154425,7.305577,7.630178,7.927733,-4.484082
235,7.333333,9.666667,9.666667,0.4,0.986122,6.718785,7.017262,7.290712,-5.300664
236,10,9.666667,9.666667,0.4,0.832835,6.253892,6.531677,6.78606,-6.117246
237,2,12,9.666667,0.4,1.185305,6.075285,6.471948,7.306961,-6.139257
238,4.666667,12,9.666667,0.4,1.094813,5.499531,5.858048,6.612408,-7.493956
239,7.333333,12,9.666667,0.4,1.004958,5.061493,5.391096,6.084391,-8.848655
240,10,12,9.666667,0.4,0.839899,4.713794,5.020507,5.665501,-10.203354
241,2,5,12,0.4,0.941186,7.049095,8.344079,9.333176,-4.358257
242,4.666667,5,12,0.4,1.001601,6.413373,7.591296,8.491634,-5.265799
243,7.333333,5,12,0.4,0.87293,5.923492,7.011255,7.843092,-6.173342
244,10,5,12,0.4,0.869743,5.531055,6.546622,7.323527,-7.080885
245,2,7.333333,12,0.4,1.106538,6.180576,7.265707,7.370442,-5.417433
246,4.666667,7.333333,12,0.4,0.900142,5.605096,6.589114,6.683507,-6.588294
247,7.333333,7.333333,12,0.4,0.753713,5.165248,6.071979,6.158594,-7.759154
248,10,7.333333,12,0.4,0.847384,4.814959,5.660142,5.740632,-8.930014
249,2,9.666667,12,0.4,1.405019,5.72924,6.377264,6.773788,-6.535868
250,4.666667,9.666667,12,0.4,1.111904,5.186331,5.772696,6.130784,-7.978682
251,7.333333,9.666667,12,0.4,1.224176,4.773279,5.312769,5.641792,-9.421496
252,10,9.666667,12,0.4,1.019759,4.44541,4.947714,5.253768,-10.86431
253,2,12,12,0.4,1.179217,5.446675,5.671909,5.880931,-7.874902
254,4.666667,12,12,0.4,0.916397,4.924678,5.128224,5.316946,-9.633166
255,7.333333,12,12,0.4,0.742859,4.528725,4.715833,4.889204,-11.391428
256,10,12,12,0.4,0.621079,4.215097,4.389195,4.550435,-13.149692
